generation,best_fitness,avg_fitness
0,2257.83,3275.63
1,2257.83,3097.64
2,2257.83,3028.93
3,2257.83,2931.93
4,2250.79,2894.59
5,2250.79,2746.66
6,2250.79,2707.84
7,2250.79,2702.82
8,2250.79,2673.94
9,2250.79,2627.09
10,2222.86,2535.98
11,2222.86,2454.44
12,2222.86,2459.52
13,2222.86,2391.36
14,2222.86,2426.01
15,2222.86,2455.01
16,2222.86,2487.33
17,2222.86,2517.22
18,2222.86,2462.2
19,2222.86,2351.41
20,2222.86,2300.05
21,2222.86,2365.88
22,2222.86,2383.56
23,2222.86,2404.81
24,2222.86,2413.87
25,2222.86,2429.64
26,2138.8,2343.94
27,2138.8,2255.9
28,2138.8,2239.55
29,2138.8,2278.15
30,2138.8,2283.14
31,2138.8,2310.79
32,2138.8,2283.08
33,2138.8,2242.16
34,2138.8,2249.23
35,2138.8,2224.96
36,2138.8,2185.03
37,2138.8,2173.77
38,2138.8,2222.18
39,2138.8,2163
40,2138.8,2178.84
41,2138.8,2152.75
42,2138.8,2142.91
43,2138.8,2165.01
44,2138.8,2174.04
45,2138.8,2169
46,2138.8,2157.55
47,2138.8,2162.97
48,2138.8,2160.24
49,2138.8,2197.09
